id,name,display_name,code,latitude,longitude,swlat,swlng,nelat,nelng,place_type,bbox_area,created_at,updated_at,ancestry,slug,source_id,admin_level,uuid,woeid,species_count,species_density
2892,Custer,"Custer County, US, CO",,38.1086779023,-105.3674717837,37.8897030000,-105.7968970000,38.2651910000,-105.0482870000,9,0.28109407168,2009-06-30 05:19:37,2018-09-06 14:34:00.540985,97394/1/34,custer-county-co-us,10464,20,fcda5c18-6d8f-4529-a577-bf82b853d87f,12587741,1271,4521.61794947749
164,San Juan,"San Juan County, US, CO",,37.7640430783,-107.6761472690,37.6394780000,-107.9750600000,37.9650150000,-107.4581140000,9,0.168285050002,2009-06-30 04:49:14,2018-09-06 14:33:48.930746,97394/1/34,san-juan-county,10464,20,0c9ae03e-d42a-42fd-9655-e6f79dd93268,12587783,768,4563.685247090413
2128,Alamosa,"Alamosa County, CO, US",,37.5728931402,-105.7882881969,37.3562000000,-106.0393970000,37.7523060000,-105.4527270000,9,0.23238350702,2009-06-30 05:11:49,2018-09-06 14:31:47.004151,97394/1/34,alamosa-county,10464,20,f12ee52f-2dd7-4455-a859-ff5c116d91c7,12587729,1136,4888.470849621142
1808,Larimer,"Larimer County, CO, US",,40.6664170878,-105.4611442623,40.2577840000,-106.1954380000,40.9984400000,-104.9430520000,9,0.927587205216,2009-06-30 05:08:26,2018-09-06 14:31:47.036135,97394/1/34,larimer-county,10464,20,3c996e71-f8e4-4307-a507-843d633fbc7a,12587762,4548,4903.043050212128
2888,Adams,"Adams County, US, CO",,39.8736401715,-104.3378007608,39.7380020000,-105.0533390000,40.0014780000,-103.7056950000,9,0.355071850544,2009-06-30 05:19:34,2018-09-06 14:34:00.663222,97394/1/34,adams-county-co-us,10464,20,1490e31d-f51c-44ce-b4c0-02da6062899c,12587728,1827,5145.437457801519
1311,Lake,"Lake County, US, CO",,39.2023794705,-106.3448377343,39.0560730000,-106.5863380000,39.3810080000,-106.1355290000,9,0.146483622415,2009-06-30 05:02:13,2018-09-06 14:33:58.343849,97394/1/34,lake-county-co-us,10464,20,eee4428d-1f37-40b4-81c4-24beb68f733c,12587761,861,5877.790198010786
2894,El Paso,"El Paso County, US, CO",,38.8320890948,-104.5255845617,38.5194400000,-105.0725290000,39.1299370000,-104.0515680000,9,0.623293627617,2009-06-30 05:19:39,2018-09-06 14:34:00.67334,97394/1/34,el-paso-county-co-us,10464,20,328cf4cf-7fae-4e37-8417-c051c2e48605,12587747,4358,6991.889226690271
1739,Teller,"Teller County, US, CO",,38.8821720458,-105.1618263926,38.6475310000,-105.3306430000,39.1298190000,-104.9389770000,9,0.188895811808,2009-06-30 05:07:42,2018-09-06 14:31:53.999221,97394/1/34,teller-county,10464,20,e3270fd9-75f5-4c5c-ab47-d0883a9c4c27,12587787,1425,7543.841159635755
1392,Clear Creek,"Clear Creek County, US, CO",,39.6891023981,-105.6443590102,39.5648650000,-105.9270300000,39.8519960000,-105.3979490000,9,0.151915556611,2009-06-30 05:03:08,2018-09-06 14:33:58.353312,97394/1/34,clear-creek-county,10464,20,ceda755b-11cc-42e6-98b9-74971dbf4f9a,12587737,1369,9011.585321084045
2889,Arapahoe,"Arapahoe County, CO, US",,39.6497751597,-104.3392332962,39.5636010000,-105.0542400000,39.7408350000,-103.7065470000,9,0.238857021162,2009-06-30 05:19:35,2018-09-06 14:31:47.150836,97394/1/34,arapahoe-county,10464,20,3906794f-3079-47fa-9d25-13f028ce958e,12587730,2337,9784.095893982436
1734,Douglas,"Douglas County, US, CO",,39.3297235943,-104.9295607985,39.1294780000,-105.3292200000,39.5662330000,-104.6605840000,9,0.29203011618,2009-06-30 05:07:39,2018-09-06 14:33:52.370801,97394/1/34,douglas-county-co-us,10464,20,e19cc24e-4b00-49dd-a028-c93db378a7cf,12587745,3010,10307.156122708631
250,Jefferson,"Jefferson County, US, CO",,39.5864255507,-105.2504737327,39.1295430000,-105.3991500000,39.9143860000,-105.0487400000,9,0.27501683563,2009-06-30 04:50:15,2018-09-06 14:31:55.245172,97394/1/34,jefferson-county-co-us,10464,20,914c2176-5c61-4033-8462-5f13d4aa43c4,12587757,3613,13137.377541718317
205,Denver,"Denver County, US, CO",,39.7621431903,-104.8758480793,39.6144230000,-105.1099270000,39.9142470000,-104.6003020000,9,0.152797806,2009-06-30 04:49:46,2018-09-06 14:31:54.870614,97394/1/34,denver-county,10464,20,b4db45c3-e8e6-4ccb-9385-23cf0ce669d5,12587743,2347,15360.168195085209
2578,Gilpin,"Gilpin County, CO, US",,39.8575581329,-105.5225314735,39.7458010000,-105.7007840000,39.9383880000,-105.3974500000,9,0.058418185058,2009-06-30 05:16:24,2018-09-06 14:31:47.099406,97394/1/34,gilpin-county,10464,20,314aaeed-d2a7-4b8a-8038-b0c5139f580c,12587751,1067,18264.860487203397
1733,Boulder,"Boulder County, US, CO",,40.0924597699,-105.3577056758,39.9128860000,-105.6943620000,40.2627850000,-105.0527740000,9,0.224490999612,2009-06-30 05:07:38,2018-09-06 14:31:53.938589,97394/1/34,boulder-county,10464,20,9d306c1d-ced0-405a-a66b-0c0375178bcf,12587734,5816,25907.497450018527
2890,Broomfield,"Broomfield County, US, CO",,39.9541357282,-105.0526649332,39.8892120000,-105.1660560000,40.0441440000,-104.9610710000,9,0.03175873602,2009-06-30 05:19:36,2018-09-06 14:34:00.631144,97394/1/34,broomfield-county,10464,20,c9a2daae-71a5-4fc5-b01b-6d12cd80c140,26343011,983,30952.113439935325
34,Colorado,"Colorado, US",US-CO,38.9985431827,-105.5478331726,36.9924240000,-109.0602040000,41.0034440000,-102.0415220000,8,28.15207387564,2009-06-30 04:46:57,2018-09-06 14:31:49.896467,97394/1,colorado,10464,10,1f5a8e15-ac87-4f4e-848a-c44a0596e3ff,2347564
